ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9988178,HY178392,03/10/2015 05:39:00 AM,038XX N ELSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,1732,17.0,35.0,16.0,14,1152260.0,1925458.0,2015,02/10/2018 03:50:01 PM,41.951324798,-87.71569575,"(41.951324798, -87.71569575)"
10201374,HY388706,08/19/2015 11:15:00 AM,115XX S CHURCH ST,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,True,False,2212,22.0,34.0,75.0,26,1165505.0,1827927.0,2015,02/10/2018 03:50:01 PM,41.683416682,-87.669776163,"(41.683416682, -87.669776163)"
10260188,HY447327,10/02/2015 07:00:00 PM,001XX N WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,122,1.0,42.0,32.0,14,1174723.0,1900866.0,2015,02/10/2018 03:50:01 PM,41.88336939,-87.633860272,"(41.88336939, -87.633860272)"
10200361,HY387843,08/18/2015 03:43:00 PM,003XX W 42ND PL,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,True,False,925,9.0,3.0,37.0,04A,1174629.0,1876776.0,2015,02/10/2018 03:50:01 PM,41.81726671,-87.63492489,"(41.81726671, -87.63492489)"
10051944,HY241056,04/27/2015 10:50:00 PM,060XX N OAKLEY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,2413,24.0,40.0,2.0,08A,1159893.0,1940106.0,2015,08/17/2015 03:03:40 PM,41.991365231,-87.687230951,"(41.991365231, -87.687230951)"
9973193,HY162776,02/24/2015 07:00:00 PM,018XX S KEDZIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,True,False,1022,10.0,24.0,29.0,18,1155320.0,1890808.0,2015,02/10/2018 03:50:01 PM,41.856181047,-87.705379631,"(41.856181047, -87.705379631)"
9964228,HY153976,02/16/2015 10:45:00 PM,030XX N CENTRAL AVE,0460,BATTERY,SIMPLE,STREET,False,False,2514,25.0,31.0,19.0,08B,1138509.0,1919554.0,2015,02/10/2018 03:50:01 PM,41.935384432,-87.766388161,"(41.935384432, -87.766388161)"
10135694,HY324288,07/02/2015 03:00:00 AM,004XX W ROSLYN PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),False,False,1935,19.0,43.0,7.0,14,1172920.0,1917058.0,2015,02/10/2018 03:50:01 PM,41.927841222,-87.640000373,"(41.927841222, -87.640000373)"
10249529,HY435924,09/23/2015 11:32:00 PM,079XX S YATES BLVD,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,True,False,414,4.0,7.0,46.0,07,1193570.0,1852889.0,2015,02/10/2018 03:50:01 PM,41.751275763,-87.566227001,"(41.751275763, -87.566227001)"
10227594,HY414964,09/07/2015 06:00:00 PM,033XX W 63RD ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,823,8.0,15.0,66.0,05,1155203.0,1862651.0,2015,02/10/2018 03:50:01 PM,41.778916895,-87.706562939,"(41.778916895, -87.706562939)"
10346283,HY537534,12/15/2015 12:44:00 AM,047XX S ELIZABETH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,False,False,933,9.0,3.0,61.0,26,1168791.0,1873353.0,2015,02/10/2018 03:50:01 PM,41.808001847,-87.656439128,"(41.808001847, -87.656439128)"
